,Tipo,Fecha de Apertura,Urgencia,Impacto,Prioridad,Cliente,Area,Categoria,Sub-Categoria,Año,Mes,Tiempo Total,Sector
505,Requerimiento,2023-11,Mediana,Baja,Mediana,Banplus Venezuela,Plataforma Distribuida,Administracion de Servidores,Implementaciones de Planes de Arranque,2023,11,0.43,Financiero
506,Requerimiento,2023-11,Mediana,Mediana,Mediana,Banplus Venezuela,Soporte Tecnico,Estaciones de Trabajo,Manejo de Equipos,2023,11,3.97,Financiero
507,Requerimiento,2023-11,Mediana,Mediana,Mediana,Banplus Venezuela,Soporte Tecnico,Estaciones de Trabajo,Manejo de Equipos,2023,11,2.58,Financiero
508,Requerimiento,2023-11,Mediana,Mediana,Mediana,Banplus Venezuela,Soporte Tecnico,Estaciones de Trabajo,Manejo de Equipos,2023,11,2.35,Financiero
509,Requerimiento,2023-11,Mediana,Mediana,Mediana,Banplus Venezuela,Soporte Tecnico,Estaciones de Trabajo,Manejo de Equipos,2023,11,2.32,Financiero
510,Requerimiento,2023-11,Mediana,Mediana,Mediana,Banplus Venezuela,Soporte Tecnico,Estaciones de Trabajo,Manejo de Equipos,2023,11,3.17,Financiero
511,Requerimiento,2023-11,Mediana,Mediana,Mediana,Banplus Venezuela,Soporte Tecnico,Estaciones de Trabajo,Aplicaciones de Escritorio,2023,11,3.23,Financiero
512,Requerimiento,2023-11,Alta,Mediana,Alta,Banplus Venezuela,Soporte Tecnico,Estaciones de Trabajo,Outlook (Escritorio),2023,11,2.28,Financiero
513,Requerimiento,2023-11,Alta,Mediana,Alta,Banplus Venezuela,Soporte Tecnico,Estaciones de Trabajo,Outlook (Escritorio),2023,11,1.2,Financiero
514,Requerimiento,2023-11,Alta,Mediana,Alta,Banplus Venezuela,Soporte Tecnico,Estaciones de Trabajo,Outlook (Escritorio),2023,11,2.0,Financiero
515,Incidencia,2023-11,Mediana,Mediana,Mediana,Banplus Venezuela,Plataforma Centralizada,Administracion Core Bancario (AS-400),Servicios,2023,11,0.28,Financiero
516,Requerimiento,2023-11,Mediana,Mediana,Mediana,Banplus Venezuela,Soporte Tecnico,Estaciones de Trabajo,Manejo de Equipos,2023,11,2.4,Financiero
517,Incidencia,2023-11,Mediana,Mediana,Mediana,Banplus Venezuela,Bases de Datos,Administracion de Servidores,Aplicaciones Corporativas,2023,11,0.67,Financiero
